Location,Time,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,Births,Deaths,MedianAgePop,PopGrowthRate,NetMigrations,TFR,LEx,LExMale,LExFemale,LE15,LE65,CBR,CDR,PopSexRatio,InfantDeaths,Under5Deaths,PopChange,LE65Male,LE65Female,LE15Male,LE15Female,NatChange,PopDensity
Republic of Korea,1950,19757.321,10089.463,9667.858,784.803,931.034,17.6863,0.002,146.698,6.0628,22.2262,17.4717,34.571,21.2897,7.3665,39.722,47.123,104.3609,142.737,289.005,0.465,5.6607,9.4707,13.7031,41.1771,-146.231,199.6839
Republic of Korea,1951,19868.99,10018.324,9850.666,811.47,754.519,17.4779,1.122,165.917,6.0891,26.6418,20.9753,38.1926,25.6984,8.0752,40.841,37.975,101.702,132.153,246.671,222.872,6.3752,9.8888,17.2134,43.0096,56.951,200.8125
Republic of Korea,1952,20229.879,10144.22,10085.66,842.481,516.717,17.4542,2.466,173.145,6.1215,36.5663,31.7034,42.9298,37.289,9.123,41.645,25.542,100.5806,124.901,214.954,498.907,7.7708,10.3251,30.7677,45.7616,325.764,204.4599
Republic of Korea,1953,20775.325,10415.249,10360.076,879.007,458.268,17.565,2.85,171.248,6.1711,40.5054,36.827,44.8435,41.2752,9.6376,42.31,22.058,100.5326,117.83,191.061,591.984,8.3787,10.6987,36.3632,47.0744,420.739,209.9727
Republic of Korea,1954,21415.573,10751.396,10664.176,910.76,385.241,17.712,3.215,162.989,6.1738,46.0778,43.942,48.4248,45.6714,10.1496,42.528,17.989,100.8179,110.614,172.21,688.512,9.0347,11.0452,43.2666,48.3029,525.519,216.4435
Republic of Korea,1955,22125.103,11129.887,10995.216,942.519,363.086,17.8681,3.302,151.123,6.1687,48.3534,46.2008,50.7035,46.4508,10.4619,42.6,16.411,101.2248,103.923,157.322,730.547,9.3502,11.3444,44.0779,49.0297,579.433,223.6146
Republic of Korea,1956,22874.434,11516.74,11357.694,977.327,347.712,18.0177,3.358,138.492,6.175,50.2037,48.0571,52.5336,47.1009,10.7286,42.726,15.201,101.4003,98.494,146.033,768.116,9.6212,11.599,44.7615,49.6291,629.615,231.188
Republic of Korea,1957,23660.791,11911.603,11749.188,1016.567,339.825,18.1534,3.401,127.856,6.178,51.5543,49.4538,53.8151,47.5962,10.9341,42.964,14.362,101.3823,94.922,138.51,804.599,9.8291,11.793,45.2859,50.0743,676.742,239.1356
Republic of Korea,1958,24473.927,12319.762,12154.165,1051.167,347.167,18.2543,3.358,117.675,6.1523,51.8362,49.5445,54.3497,47.1692,10.763,42.95,14.185,101.3625,91.583,131.906,821.672,9.5481,11.7237,44.6521,49.9229,704.0,247.3538
Republic of Korea,1959,25298.233,12732.866,12565.368,1080.156,341.562,18.3061,3.269,88.341,6.0958,52.9353,50.5708,55.5159,47.5172,10.9038,42.697,13.501,101.333,88.818,126.9,826.94,9.6768,11.8663,45.0116,50.2393,738.594,255.6849
Republic of Korea,1960,26115.379,13142.885,12972.494,1098.755,338.65,18.3212,3.092,47.245,5.9942,53.7567,51.3799,56.3364,47.8345,11.0205,42.073,12.967,101.3135,85.818,121.922,807.353,9.7804,11.9881,45.3333,50.5342,760.105,263.9437
Republic of Korea,1961,26852.951,13518.34,13334.612,1096.972,335.992,18.2722,2.487,-93.179,5.8025,54.444,52.0314,57.0448,48.0932,11.1145,40.851,12.512,101.3778,82.183,116.75,667.79,9.853,12.0965,45.5871,50.7843,760.98,271.3982
Republic of Korea,1962,27509.237,13859.317,13649.92,1072.152,332.766,18.1273,2.344,-94.606,5.5623,55.0328,52.6529,57.5772,48.245,11.1503,38.974,12.097,101.534,77.588,110.492,644.782,9.903,12.1231,45.7991,50.8497,739.386,278.0312
